BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202404,11,1213,202404,11,1213,189583,1165776,FLORIDA,12,2024,April,Lightning,C,103,PINELLAS,TBW,11-APR-24 12:13:00,EST-5,11-APR-24 12:13:00,0,0,0,0,25.00K,0.00K,911 Call Center,,,,,,,,,,,,2.0,SSW,CAMPBELL PARK COMPS SITE,2.0,SSW,CAMPBELL PARK COMPS SITE,27.75,-82.66,27.75,-82.66,"A broken line of thunderstorms ahead of a cold front moving across the eastern Gulf of Mexico produce wind damage in Levy, Pinellas and Hillsborough counties, street flooding and a funnel cloud in Pasco County, structural fires due to lightning in Pinellas County, and a severe wind gust in Hillsborough County. Minor coastal flooding was briefly observed in Pinellas County in the wake of the line of thunderstorms.",Pinellas County 911 dispatch reported a fire due to lightning at a residence near St Petersburg between 20th Street and Forest Lane.,CSV
202405,8,1825,202405,8,1825,189795,1166684,MASSACHUSETTS,25,2024,May,Lightning,C,23,PLYMOUTH,BOX,08-MAY-24 18:25:00,EST-5,08-MAY-24 18:25:00,0,0,0,0,5.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,1.0,S,NORTHWEST DUXBURY,1.0,S,NORTHWEST DUXBURY,42.04,-70.75,42.04,-70.75,"A strong shortwave coupled with modest instability, strong shear, and steep mid level lapse rates resulted in several severe thunderstorms from western MA to eastern CT to RI to southeast MA. All the severe reports were large hail reports. The cool marine layer prevented any wind damage and tornado risk. The largest hail stone to fall was 2 inches in Narragansett, RI.",A lightning strike caused a fire at a condominium complex near Carriage Ln in Duxbury.,CSV
202405,23,1145,202405,23,1145,190176,1174124,MASSACHUSETTS,25,2024,May,Lightning,C,5,BRISTOL,BOX,23-MAY-24 11:45:00,EST-5,23-MAY-24 11:45:00,0,0,0,0,5.00K,0.00K,Public,,,,,,,,,,,,1.0,E,ACUSHNET,1.0,E,ACUSHNET,41.68,-70.91,41.68,-70.91,"A passing cold front brought a round of strong storms through southern New England. Training storms moving over New Bedford caused flash flooding in addition to Providence, Rhode Island.  Earlier in the day it caused wind damage in Connecticut.","In Acushnet, a house was hit by lightning causing damage to the home electrical system on Beaver Dam Rd.",CSV
202401,27,1514,202401,27,1514,187337,1149623,FLORIDA,12,2024,January,Lightning,C,63,JACKSON,TAE,27-JAN-24 15:14:00,CST-6,27-JAN-24 15:14:00,0,0,0,0,3.00K,0.00K,Law Enforcement,,,,,,,,,,,,0.0,N,MARIANNA,0.0,N,MARIANNA,30.77,-85.23,30.77,-85.23,"A line of strong to occasionally severe thunderstorms ahead of a cold front moved eastward across the Florida panhandle and big bend during the afternoon of January 27th. While most wind gusts along the line were in the 40-50 mph range, isolated areas received slightly stronger winds with isolated wind damage reported.",Approximately 200 customers lost power in the Marianna area due to a lightning strike.,CSV
202401,24,330,202401,24,330,187243,1149122,TEXAS,48,2024,January,Lightning,C,167,GALVESTON,HGX,24-JAN-24 03:30:00,CST-6,24-JAN-24 03:30:00,0,0,0,0,25.00K,0.00K,Emergency Manager,,,,,,,,,,,,2.0,W,DICKINSON,2.0,W,DICKINSON,29.47,-95.08,29.47,-95.08,"A series of disturbances moved across the area resulting in numerous flash flood events that resulted in the flooding of many homes, extensive high water rescues, and a flood-related fatality.",There was a home fire in the St. Edmunds neighborhood off of FM 646.,CSV
202410,24,1452,202410,24,1452,197578,1222078,IOWA,19,2024,October,Lightning,C,177,VAN BUREN,DVN,24-OCT-24 14:52:00,CST-6,24-OCT-24 14:52:00,0,0,0,0,10.00M,0.00K,Broadcast Media,,,,,,,,,,,,1.0,W,UTICA,1.0,W,UTICA,40.8,-91.93,40.8,-91.93,"A storm system moved east across the area and led to the development of widespread showers and thunderstorms during the afternoon and evening hours of October 24th. A few of these storms become severe, producing hail up to quarter size and damaging wind gusts. A lightning strike near Keosauqua caused a fire that destroyed a historic church.",Broadcast media reported that a historic church north of Keosauqua Iowa was struck by lightning that resulted in a fire and the total loss of the building. The time of the event was estimated using radar.,CSV
202405,26,2001,202405,26,2001,190571,1171629,WEST VIRGINIA,54,2024,May,Lightning,C,27,HAMPSHIRE,LWX,26-MAY-24 20:01:00,EST-5,26-MAY-24 20:01:00,0,0,0,0,3.00K,,911 Call Center,,,,,,,,,,,,1.0,SW,ROMNEY,1.0,SW,ROMNEY,39.3442,-78.7579,39.3442,-78.7579,A large thunderstorm complex resulted in numerous instances of damaging winds over much of the Mid-Atlantic during the evening hours.,Lightning struck a tree which split in half and fell onto power lines.,CSV
202402,19,1900,202402,19,1900,189524,1165507,CALIFORNIA,6,2024,February,Lightning,C,33,LAKE,EKA,19-FEB-24 19:00:00,PST-8,19-FEB-24 19:00:00,0,0,0,0,5.00K,0.00K,Emergency Manager,,,,,,,,,,,,2.0,N,UPPER LAKE,2.0,N,UPPER LAKE,39.1927,-122.8996,39.1927,-122.8996,A storm system brought rain and wind to Northwest California a couple weeks following the major wind event on February 4th. This system was more convective and resulted in periodic wind gusts in excess of 58 mph on ridgetops across the region.,Lightning struck a house shattering windows. No other damage was reported.,CSV
202403,14,1505,202403,14,1505,188306,1157345,MISSOURI,29,2024,March,Lightning,C,43,CHRISTIAN,SGF,14-MAR-24 15:05:00,CST-6,14-MAR-24 15:05:00,0,0,0,0,30.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,5.0,NNE,LINDEN,5.0,NNE,LINDEN,37.1108,-93.0826,37.1108,-93.0826,A cluster of severe thunderstorms moved through southern Missouri during the afternoon and evening hours on the 14th. A swath of damaging winds occurred along with intermittent large hail and one weak tornado.,Lightning started a house fire on the south side of Rogersville. Significant damage occurred to the house.,CSV
202403,29,2315,202403,29,2315,189935,1167445,IOWA,19,2024,March,Lightning,C,13,BLACK HAWK,DMX,29-MAR-24 23:15:00,CST-6,29-MAR-24 23:15:00,0,0,0,0,50.00K,0.00K,Broadcast Media,,,,,,,,,,,,2.0,SW,WATERLOO,2.0,SW,WATERLOO,42.48,-92.37,42.48,-92.37,"An upper level wave and surface boundary, paired with increased moisture advection and forcing over central into eastern Iowa resulted in scattered showers and storms, which tracked across eastern Iowa late evening March 29th into early March 30th. CAPE values just over 1000J/kg and weaker helicity values were favorable, which indicated the potential for hail with these storms.",Delayed report of house fire in vicinity due to lightning. Time of lightning strike estimated from radar.,CSV
202405,11,1925,202405,11,1925,189808,1166710,MARYLAND,24,2024,May,Lightning,C,23,GARRETT,LWX,11-MAY-24 19:25:00,EST-5,11-MAY-24 19:25:00,0,0,0,0,10.00K,,Emergency Manager,,,,,,,,,,,,1.0,N,KEYSERS RIDGE,1.0,N,KEYSERS RIDGE,39.7002,-79.2503,39.7002,-79.2503,A supercell thunderstorm riding along a warm front produced a couple of tornadoes as well as straight-line wind damage over western Maryland.,Lightning struck a shed causing a fire in the 3600 block of Alternate US-40 National Pike.,CSV
202405,11,2230,202405,11,2230,189808,1166711,MARYLAND,24,2024,May,Lightning,C,31,MONTGOMERY,LWX,11-MAY-24 22:30:00,EST-5,11-MAY-24 22:30:00,0,0,0,0,500.00K,,Emergency Manager,,,,,,,,,,,,1.0,SSE,POOLESVILLE,1.0,SSE,POOLESVILLE,39.1374,-77.4094,39.1374,-77.4094,A supercell thunderstorm riding along a warm front produced a couple of tornadoes as well as straight-line wind damage over western Maryland.,Lightning caused a fire that burned most of a house in the 19600 block of Westerly Avenue.,CSV
202403,4,1819,202403,4,1819,190009,1168667,LOUISIANA,22,2024,March,Lightning,C,103,ST. TAMMANY,LIX,04-MAR-24 18:19:00,CST-6,04-MAR-24 18:19:00,0,0,0,0,20.00K,0.00K,Fire Department/Rescue,,,,,,,,,,,,2.0,WNW,ST JOE,2.0,WNW,ST JOE,30.36,-89.78,30.36,-89.78,"The combination of increasing surface heating, elevated moisture, and increasing atmospheric life from an approaching mid level disturbance induced increasing storm development. The main focus of heavier rain was on the south shore of Lake Pontchartrain. Slow storm movement and moderate to heavy rain rates resulted in multiple areas of flash flooding across New Orleans Metro.",Report of a structure fire caused by lightning. Was passed along a video of the fire over social media showing the home on Alamosa Lane in Pearl River.,CSV
202403,14,2139,202403,14,2139,188541,1159190,TENNESSEE,47,2024,March,Lightning,C,99,LAWRENCE,OHX,14-MAR-24 21:39:00,CST-6,14-MAR-24 21:39:00,0,0,0,0,25.00K,0.00K,Emergency Manager,,,,,,,,,,,,1.0,WSW,BRACE,1.0,WSW,BRACE,35.3659,-87.3411,35.3659,-87.3411,"Thunderstorms impacted Middle Tennessee during the late evening hours of March 14, 2024 and into the early morning hours of March 15th. The first round of thunderstorms were discrete when they moved into southwest Middle Tennessee. It was this first round of thunderstorms that were the strongest of this event with large hail and severe winds reported in Lawrence and Giles counties. The second round was a line of thunderstorms that weakened significantly as they crossed the Tennessee River, but not before causing wind damage in Wayne County.",Lightning caused an outbuilding to catch fire along Buffalo Road north of Lawrenceburg. There were no injuries. Damages are a rough estimate.,CSV
202403,15,720,202403,15,720,189253,1175259,MISSISSIPPI,28,2024,March,Lightning,C,69,KEMPER,JAN,15-MAR-24 07:20:00,CST-6,15-MAR-24 07:20:00,0,0,0,0,20.00K,0.00K,Emergency Manager,,,,,,,,,,,,3.0,SSE,BLOOMFIELD,3.0,SSE,BLOOMFIELD,32.74,-88.74,32.74,-88.74,A cold front moved through the region and caused a line of storms to push across the area and bring some isolated severe storms.,Lightning struck a home and caused a house fire.,CSV
